Order_ID,Order_Date,Region,State,Category,Product,Quantity,Cost_Price,Selling_Price,Discount_Percentage,Final_Price,Profit
100027,11-01-2024,Central,Madhya Pradesh,Clothing,Jacket,4,4204.67,6352.71,30,4446.9,968.92
100028,21-02-2023,East,Bihar,Home Appliances,Mixer,2,1919.03,2516.33,5,2390.51,942.96
100029,29-12-2024,North,Punjab,Clothing,T-shirt,6,4070.54,6143,30,4300.1,1377.36
100030,29-07-2023,South,Tamil Nadu,Office Supplies,Printer,8,3911.37,4676.19,30,3273.33,-5104.32
100031,28-04-2023,East,Odisha,Clothing,Jeans,8,2858.01,4232.89,20,3386.31,4226.4
100032,26-01-2024,Central,Madhya Pradesh,Office Supplies,Notebook,3,1245.9,1513.13,0,1513.13,801.69
100033,28-11-2023,Central,Chhattisgarh,Home Appliances,Mixer,2,4826.86,5907.42,30,4135.19,-1383.34
100034,12-06-2023,Central,Madhya Pradesh,Home Appliances,Fan,5,1388.97,2047.65,15,1740.5,1757.65
100035,05-04-2024,North,Haryana,Electronics,Mobile,6,4067.27,5094.45,20,4075.56,49.74
100036,30-07-2023,Central,Chhattisgarh,Office Supplies,Pen,6,333.42,412.47,20,329.98,-20.64
100037,25-12-2023,East,Bihar,Office Supplies,Notebook,8,3310.81,4446.78,20,3557.42,1972.88
100038,23-09-2024,East,West Bengal,Home Appliances,Mixer,1,4969.2,6349.88,20,5079.9,110.7
100039,15-04-2024,West,Gujarat,Furniture,Chair,8,4302.67,6791.78,15,5773.01,11762.72
100040,19-03-2024,South,Kerala,Clothing,Jacket,4,3922.44,5110.34,0,5110.34,4751.6
100041,28-09-2024,East,Bihar,Electronics,Mobile,7,2788.7,3208.08,20,2566.46,-1555.68
100042,01-06-2023,West,Rajasthan,Clothing,Jeans,6,763.62,1072.03,10,964.83,1207.26
100043,23-07-2023,South,Tamil Nadu,Electronics,Headphones,5,4740.28,6435.22,0,6435.22,8474.7
100044,31-12-2023,South,Kerala,Clothing,Jacket,1,4712.08,5498.02,15,4673.32,-38.76
100045,01-04-2023,North,Haryana,Electronics,Headphones,5,1055.09,1452.12,0,1452.12,1985.15
100046,04-06-2024,North,Haryana,Electronics,Mobile,2,1787.96,2345.77,20,1876.62,177.32
100047,18-05-2024,North,Punjab,Office Supplies,Pen,8,1566.87,2353.64,5,2235.96,5352.72
100048,12-05-2023,West,Gujarat,Office Supplies,Notebook,8,4681.53,7112.41,10,6401.17,13757.12
100049,26-08-2023,South,Karnataka,Electronics,Headphones,3,613.02,961.97,5,913.87,902.55
100050,04-08-2023,South,Tamil Nadu,Electronics,Headphones,2,2061.19,3018.85,15,2566.02,1009.66
100051,11-11-2023,Central,Chhattisgarh,Office Supplies,Notebook,1,1227.83,1834.92,0,1834.92,607.09
100052,08-04-2024,West,Rajasthan,Furniture,Sofa,8,2118.8,2602.21,5,2472.1,2826.4
100053,04-05-2023,East,West Bengal,Home Appliances,Mixer,3,3363.87,4349.29,30,3044.5,-958.11
100054,24-07-2023,West,Rajasthan,Home Appliances,Mixer,6,1789.94,2160.14,5,2052.13,1573.14
100055,03-07-2024,South,Kerala,Home Appliances,Mixer,1,2916.43,4045.33,10,3640.8,724.37
100056,19-10-2023,North,Punjab,Electronics,Headphones,3,4650.15,6780.04,5,6441.04,5372.67
100057,11-06-2023,West,Maharashtra,Furniture,Table,5,3477.89,4179.09,20,3343.27,-673.1
100058,17-01-2023,Central,Madhya Pradesh,Office Supplies,Notebook,6,2812.38,4356.44,15,3702.97,5343.54
100059,13-07-2023,West,Maharashtra,Clothing,Jeans,3,1650.91,2235.52,10,2011.97,1083.18
100060,02-03-2024,South,Tamil Nadu,Furniture,Table,8,4281.81,4886.56,5,4642.23,2883.36
100061,08-01-2024,East,Odisha,Home Appliances,Mixer,1,2291.88,3349.65,30,2344.76,52.88
100062,24-08-2024,West,Gujarat,Clothing,Jacket,3,2585.27,3176.56,0,3176.56,1773.87
100063,08-10-2023,South,Tamil Nadu,Home Appliances,Fan,8,383.55,458.05,10,412.25,229.6
100064,13-08-2023,Central,Chhattisgarh,Office Supplies,Notebook,7,1755.45,2512.44,15,2135.57,2660.84
100065,07-08-2024,North,Haryana,Home Appliances,Mixer,5,2096.34,2792.65,5,2653.02,2783.4
100066,26-04-2024,West,Gujarat,Home Appliances,Fan,3,3119.03,3678.37,15,3126.61,22.74
100067,17-06-2024,South,Kerala,Office Supplies,Pen,6,1390.15,1638.9,10,1475.01,509.16
100068,19-12-2023,West,Gujarat,Electronics,Headphones,1,3979.98,4400.14,0,4400.14,420.16
100069,30-01-2024,South,Tamil Nadu,Electronics,Headphones,1,1856.14,2269.26,5,2155.8,299.66
100070,26-01-2024,East,Odisha,Clothing,Jacket,2,863.56,1144.52,0,1144.52,561.92
100071,09-04-2023,East,Bihar,Furniture,Table,2,574.64,694.98,5,660.23,171.18
100072,12-05-2024,North,Haryana,Clothing,Jacket,7,570.43,851.86,10,766.67,1373.68
100073,16-09-2023,North,Haryana,Electronics,Mobile,2,2187.68,3359.37,20,2687.5,999.64
100074,12-06-2023,North,Delhi,Home Appliances,Microwave,6,4432.33,6472.72,10,5825.45,8358.72
100075,29-09-2024,East,Odisha,Electronics,Mobile,7,1550.35,1842.83,10,1658.55,757.4
100076,22-06-2023,North,Haryana,Office Supplies,Pen,8,2321.78,2578.63,10,2320.77,-8.08
100077,28-11-2023,South,Kerala,Clothing,Jacket,3,4969.96,6691.1,15,5687.44,2152.44
100078,17-08-2023,East,Bihar,Office Supplies,Printer,8,646.2,951.44,15,808.72,1300.16
100079,25-10-2024,East,West Bengal,Electronics,Mobile,7,3453.83,4140.88,10,3726.79,1910.72
100080,27-06-2023,South,Kerala,Home Appliances,Microwave,3,1270.84,1905.43,0,1905.43,1903.77
100081,06-02-2024,South,Tamil Nadu,Office Supplies,Notebook,8,266.99,294.9,5,280.16,105.36
100082,21-09-2024,North,Punjab,Furniture,Sofa,3,1832.55,2757.56,0,2757.56,2775.03
100083,08-04-2024,East,Bihar,Furniture,Chair,7,4667.22,5896.77,10,5307.09,4479.09
100084,03-09-2024,East,Odisha,Office Supplies,Pen,1,2216.04,3273.81,0,3273.81,1057.77
100085,14-03-2023,Central,Madhya Pradesh,Furniture,Table,5,3380.68,4091.7,5,3887.11,2532.15
100086,13-02-2023,West,Gujarat,Clothing,Jeans,6,1674.19,2169.18,0,2169.18,2969.94
100087,22-03-2023,South,Tamil Nadu,Clothing,Jeans,8,1837.45,2483.17,20,1986.54,1192.72
100088,22-10-2023,West,Maharashtra,Home Appliances,Fan,3,1697.95,1887.43,30,1321.2,-1130.25
100089,15-09-2023,West,Maharashtra,Furniture,Sofa,5,2651.62,2978.55,10,2680.69,145.35
100090,16-12-2024,South,Karnataka,Electronics,Laptop,8,2683.12,3619.47,0,3619.47,7490.8
100091,14-01-2023,South,Karnataka,Furniture,Table,4,1277.71,1439.87,10,1295.88,72.68
100092,16-02-2024,South,Kerala,Office Supplies,Pen,7,530.42,777.75,20,622.2,642.46
100093,10-02-2024,West,Rajasthan,Home Appliances,Fan,2,4851.06,5689.33,30,3982.53,-1737.06
100094,12-11-2024,West,Gujarat,Electronics,Laptop,7,946.37,1121.34,20,897.07,-345.1
100095,24-12-2023,South,Karnataka,Furniture,Sofa,2,1251.93,1974.09,0,1974.09,1444.32
100096,14-05-2024,North,Haryana,Clothing,Jacket,4,4819.47,6190.36,15,5261.81,1769.36
100097,07-06-2024,North,Punjab,Office Supplies,Pen,8,386.12,472.78,0,472.78,693.28
100098,10-11-2024,Central,Chhattisgarh,Electronics,Headphones,1,4495.65,6794.68,15,5775.48,1279.83
100099,03-12-2024,South,Tamil Nadu,Furniture,Table,3,3510.68,4493.08,10,4043.77,1599.27
100100,03-02-2023,North,Delhi,Home Appliances,Fan,3,350.5,512.45,10,461.21,332.13
100101,03-02-2023,Central,Madhya Pradesh,Office Supplies,Printer,1,4991.43,7702.66,5,7317.53,2326.1
100102,06-08-2023,South,Kerala,Clothing,Jacket,7,3376.48,4751.85,20,3801.48,2975
100103,01-06-2024,Central,Chhattisgarh,Clothing,T-shirt,7,774.42,954.71,0,954.71,1262.03
100104,28-01-2024,West,Rajasthan,Office Supplies,Printer,2,3348.41,4048.92,0,4048.92,1401.02
100105,08-12-2023,Central,Chhattisgarh,Home Appliances,Fan,1,3621.89,5012.86,20,4010.29,388.4
100106,04-04-2024,West,Gujarat,Office Supplies,Pen,5,2663.46,3798.13,0,3798.13,5673.35
100107,08-01-2023,Central,Chhattisgarh,Clothing,T-shirt,6,1248.16,1376.81,15,1170.29,-467.22
100108,27-02-2023,East,West Bengal,Clothing,T-shirt,3,963.51,1097.12,20,877.7,-257.43
100109,07-06-2023,West,Rajasthan,Home Appliances,Microwave,3,3117.56,4502.32,15,3826.97,2128.23
100110,26-11-2023,South,Tamil Nadu,Electronics,Laptop,1,4448.13,6423.97,0,6423.97,1975.84
100111,01-10-2024,West,Rajasthan,Office Supplies,Notebook,1,701.89,999.95,10,899.95,198.06
100112,07-12-2024,North,Delhi,Clothing,Jeans,5,742.26,990.84,15,842.21,499.75
100113,02-09-2023,South,Kerala,Furniture,Sofa,5,1880.16,2425.42,10,2182.88,1513.6
100114,10-08-2023,Central,Madhya Pradesh,Furniture,Chair,4,2652.43,4052.6,5,3849.97,4790.16
100115,22-02-2024,West,Maharashtra,Electronics,Laptop,4,653.55,996.12,15,846.7,772.6
100116,13-02-2023,West,Maharashtra,Electronics,Laptop,2,4861.88,7610.68,15,6469.08,3214.4
100117,29-05-2024,East,Odisha,Furniture,Chair,6,4554.47,5940.17,0,5940.17,8314.2
100118,16-08-2023,Central,Chhattisgarh,Clothing,Jacket,6,722.83,1033.85,5,982.16,1555.98
100119,11-06-2024,South,Tamil Nadu,Clothing,T-shirt,7,4079.68,4868.81,15,4138.49,411.67
100120,11-11-2024,West,Rajasthan,Electronics,Mobile,4,4496.81,5046.76,5,4794.42,1190.44
100121,17-02-2023,Central,Chhattisgarh,Clothing,T-shirt,2,1392.33,1824.83,30,1277.38,-229.9
100122,21-02-2023,West,Gujarat,Clothing,Jacket,6,697.96,1112.09,5,1056.49,2151.18
100123,19-02-2024,East,West Bengal,Furniture,Chair,6,4464.59,4920.58,0,4920.58,2735.94
100124,20-07-2024,Central,Madhya Pradesh,Office Supplies,Pen,4,3015.76,4060.6,5,3857.57,3367.24
100125,31-01-2024,North,Punjab,Electronics,Mobile,4,3091.22,4518.95,10,4067.06,3903.36
100126,09-10-2023,Central,Chhattisgarh,Office Supplies,Pen,4,3657.35,5252.07,10,4726.86,4278.04
100127,24-08-2023,West,Maharashtra,Furniture,Sofa,6,4332.4,5229.54,5,4968.06,3813.96
100128,13-05-2024,East,Odisha,Office Supplies,Printer,5,1699.78,2447.72,5,2325.33,3127.75
100129,05-03-2023,North,Punjab,Home Appliances,Fan,2,4372.46,5666.27,15,4816.33,887.74
100130,18-06-2023,South,Tamil Nadu,Clothing,T-shirt,5,4714.99,5716.8,0,5716.8,5009.05
100131,31-01-2023,South,Tamil Nadu,Office Supplies,Printer,8,2252.69,2923.06,0,2923.06,5362.96
100132,18-02-2024,North,Haryana,Furniture,Table,1,816.93,910.34,15,773.79,-43.14
100133,22-10-2024,South,Tamil Nadu,Office Supplies,Printer,1,1910.41,2504.31,0,2504.31,593.9
100134,16-03-2023,South,Kerala,Home Appliances,Fan,8,3649.89,5299.09,10,4769.18,8954.32
100135,06-11-2023,Central,Madhya Pradesh,Furniture,Sofa,4,3331.74,4252.83,10,3827.55,1983.24
100136,01-02-2024,East,Odisha,Electronics,Mobile,7,4592.96,7256.33,0,7256.33,18643.59
100137,09-12-2023,Central,Madhya Pradesh,Office Supplies,Notebook,5,2721.39,4004.34,20,3203.47,2410.4
100138,01-12-2024,East,Odisha,Electronics,Headphones,6,1168.78,1736.55,5,1649.72,2885.64
100139,08-02-2023,West,Maharashtra,Furniture,Chair,2,809.52,1099.83,0,1099.83,580.62
100140,08-07-2024,West,Gujarat,Furniture,Table,2,4703.74,6914.15,30,4839.91,272.34
100141,18-12-2023,South,Kerala,Home Appliances,Mixer,6,2627.26,3731.28,0,3731.28,6624.12
100142,13-07-2024,North,Delhi,Clothing,Jeans,8,626.4,728.97,5,692.52,528.96
100143,08-10-2024,South,Kerala,Office Supplies,Pen,5,1393.15,1874.83,15,1593.61,1002.3
100144,19-04-2023,North,Delhi,Home Appliances,Mixer,8,4991.86,5627.55,15,4783.42,-1667.52
100145,13-08-2024,Central,Chhattisgarh,Clothing,T-shirt,1,3884.73,4972.66,5,4724.03,839.3
100146,01-11-2024,North,Punjab,Office Supplies,Printer,4,3698.19,4183.05,10,3764.74,266.2
100147,04-04-2024,North,Punjab,Furniture,Chair,7,2737.27,3167.74,30,2217.42,-3638.95
100148,04-01-2024,North,Haryana,Clothing,Jeans,6,492.16,672.06,5,638.46,877.8
100149,16-03-2024,West,Rajasthan,Clothing,Jacket,5,1292.97,2053.92,0,2053.92,3804.75
100150,22-04-2023,South,Karnataka,Office Supplies,Notebook,6,2478.5,3390.24,0,3390.24,5470.44
100151,20-08-2023,Central,Chhattisgarh,Furniture,Chair,6,4187.45,5590.93,0,5590.93,8420.88
100152,12-06-2024,Central,Chhattisgarh,Clothing,T-shirt,2,4495.17,6004.23,5,5704.02,2417.7
100153,07-01-2024,North,Punjab,Home Appliances,Mixer,8,2540.41,3892.99,20,3114.39,4591.84
100154,08-08-2024,West,Rajasthan,Clothing,T-shirt,2,2994.18,3481.2,15,2959.02,-70.32
100155,05-02-2024,West,Rajasthan,Home Appliances,Fan,2,4643.06,6816.19,30,4771.33,256.54
100156,28-02-2023,West,Gujarat,Furniture,Table,2,3544.41,3964.49,20,3171.59,-745.64
100157,23-08-2024,East,Odisha,Home Appliances,Fan,3,972.82,1480.03,15,1258.03,855.63
100158,28-12-2023,West,Maharashtra,Home Appliances,Fan,8,2046.7,2356.88,30,1649.82,-3175.04
100159,21-12-2023,East,West Bengal,Electronics,Mobile,2,1882.22,2566.25,30,1796.37,-171.7
100160,22-09-2023,East,Odisha,Office Supplies,Pen,3,4989.77,6141.07,10,5526.96,1611.57
100161,11-01-2024,East,Odisha,Clothing,Jacket,2,430.1,645.15,15,548.38,236.56
100162,18-06-2023,Central,Chhattisgarh,Electronics,Headphones,4,2535.99,2955.21,15,2511.93,-96.24
100163,04-11-2023,West,Maharashtra,Furniture,Chair,6,3351.52,4930.66,5,4684.13,7995.66
100164,28-06-2024,South,Kerala,Electronics,Headphones,5,3252.52,3725.69,0,3725.69,2365.85
100165,06-12-2023,North,Punjab,Clothing,T-shirt,4,4396.33,5546.17,15,4714.24,1271.64
100166,15-08-2023,South,Tamil Nadu,Furniture,Chair,2,3163.89,3897.18,15,3312.6,297.42
100167,09-10-2023,South,Tamil Nadu,Electronics,Mobile,4,1503.32,1992.02,20,1593.62,361.2
100168,09-03-2024,East,Bihar,Office Supplies,Pen,4,2585.93,3282.72,20,2626.18,161
100169,06-03-2023,North,Delhi,Office Supplies,Pen,4,4334.77,5592.54,5,5312.91,3912.56
100170,23-02-2023,South,Tamil Nadu,Furniture,Chair,1,554.15,743.95,30,520.76,-33.39
100171,03-07-2024,West,Maharashtra,Electronics,Laptop,7,1098.3,1515.26,10,1363.73,1858.01
100172,06-06-2023,North,Haryana,Office Supplies,Printer,7,3613.98,5667.63,10,5100.87,10408.23
100173,25-11-2024,North,Haryana,Electronics,Mobile,8,1381.39,1747.1,20,1397.68,130.32
100174,04-07-2024,South,Kerala,Electronics,Headphones,8,1833.42,2703.63,30,1892.54,472.96
100175,02-07-2023,West,Rajasthan,Office Supplies,Pen,3,2568.36,3679.38,30,2575.57,21.63
100176,12-04-2024,Central,Madhya Pradesh,Electronics,Laptop,6,1584.81,1962.97,10,1766.67,1091.16
100177,19-10-2023,West,Rajasthan,Home Appliances,Mixer,3,2418.32,2664.42,0,2664.42,738.3
100178,20-11-2023,East,West Bengal,Home Appliances,Mixer,3,2343.48,2725.53,20,2180.42,-489.18
100179,11-04-2024,North,Punjab,Furniture,Sofa,6,671,959.21,20,767.37,578.22
100180,28-05-2023,South,Kerala,Electronics,Headphones,8,1494.18,1951.38,0,1951.38,3657.6
100181,06-01-2024,West,Gujarat,Electronics,Mobile,4,2028,2438.86,10,2194.97,667.88
100182,26-07-2023,East,Bihar,Office Supplies,Printer,1,1907.83,2405.74,5,2285.45,377.62
100183,01-12-2024,Central,Madhya Pradesh,Electronics,Mobile,8,4443.22,5099.36,20,4079.49,-2909.84
100184,03-09-2023,West,Maharashtra,Home Appliances,Fan,1,1436.1,1929.84,5,1833.35,397.25
100185,21-01-2023,North,Punjab,Office Supplies,Printer,5,2408.15,2719.52,0,2719.52,1556.85
100186,11-04-2023,West,Rajasthan,Furniture,Chair,7,2274.92,3570.08,0,3570.08,9066.12
100187,06-06-2024,East,Bihar,Electronics,Laptop,7,2634.17,3600.42,20,2880.34,1723.19
100188,14-01-2024,East,Odisha,Furniture,Chair,4,1003.46,1556.8,0,1556.8,2213.36
100189,18-05-2024,Central,Chhattisgarh,Home Appliances,Fan,5,4126.61,5985.37,10,5386.83,6301.1
100190,09-05-2023,East,Bihar,Furniture,Chair,2,3547.32,5476.54,15,4655.06,2215.48
100191,25-04-2023,West,Gujarat,Furniture,Chair,7,660.63,860.66,10,774.59,797.72
100192,13-07-2023,Central,Chhattisgarh,Clothing,Jacket,1,675.95,919.45,0,919.45,243.5
100193,23-06-2023,West,Gujarat,Furniture,Sofa,5,2005.16,3142.52,30,2199.76,973
100194,16-06-2023,South,Kerala,Electronics,Headphones,5,3599.52,4450.53,5,4228,3142.4
100195,30-07-2024,North,Punjab,Home Appliances,Microwave,6,1632.77,1891.4,5,1796.83,984.36
100196,13-01-2024,North,Haryana,Office Supplies,Pen,7,3393.74,4721.91,20,3777.53,2686.53
100197,09-02-2023,North,Delhi,Electronics,Headphones,8,2638.41,3292.26,20,2633.81,-36.8
100198,18-12-2023,North,Haryana,Clothing,Jacket,6,3441.49,4713.53,0,4713.53,7632.24
100199,23-07-2024,East,West Bengal,Furniture,Sofa,5,1505.4,2096.36,15,1781.91,1382.55
100200,04-03-2024,East,West Bengal,Office Supplies,Printer,7,4145.31,5225.92,20,4180.74,248.01
100201,27-08-2024,East,Odisha,Furniture,Sofa,2,3006.51,4236.21,0,4236.21,2459.4
100202,02-04-2024,East,Bihar,Home Appliances,Fan,8,4624.8,6918.78,20,5535.02,7281.76
100203,22-02-2023,West,Rajasthan,Clothing,T-shirt,4,2770.29,3579.41,20,2863.53,372.96
100204,07-03-2023,South,Tamil Nadu,Clothing,T-shirt,3,3182.81,4063.05,5,3859.9,2031.27
100205,08-04-2023,Central,Madhya Pradesh,Furniture,Chair,6,259.75,329.47,30,230.63,-174.72
100206,02-09-2024,East,Odisha,Office Supplies,Pen,7,2922.18,3680.49,10,3312.44,2731.82
100207,02-09-2023,Central,Chhattisgarh,Electronics,Laptop,5,3491.92,4390.97,30,3073.68,-2091.2
100208,31-07-2023,West,Gujarat,Clothing,T-shirt,6,2108.3,2745.73,20,2196.58,529.68
100209,20-05-2024,West,Maharashtra,Electronics,Laptop,8,2187.87,3446.43,15,2929.47,5932.8
100210,16-10-2024,South,Karnataka,Office Supplies,Printer,2,2628.88,3617.84,15,3075.16,892.56
100211,21-01-2023,East,Odisha,Furniture,Table,3,2822.08,3393.23,15,2884.25,186.51
100212,29-09-2024,South,Kerala,Home Appliances,Mixer,7,2457.14,3240.61,10,2916.55,3215.87
100213,06-08-2024,Central,Chhattisgarh,Electronics,Laptop,5,3018.37,4166.7,0,4166.7,5741.65
100214,09-07-2023,North,Delhi,Furniture,Table,8,3921.05,4848.04,5,4605.64,5476.72
100215,16-01-2023,West,Rajasthan,Office Supplies,Printer,3,4258.43,5444.07,30,3810.85,-1342.74
100216,30-05-2023,East,West Bengal,Furniture,Sofa,4,234.84,371.14,10,334.03,396.76
100217,16-08-2023,Central,Chhattisgarh,Office Supplies,Pen,5,858.76,1269.87,20,1015.9,785.7
100218,28-12-2023,East,Bihar,Home Appliances,Mixer,3,3264.2,4656.52,10,4190.87,2780.01
100219,27-01-2023,East,Bihar,Clothing,Jacket,7,2587.92,3369.51,20,2695.61,753.83
100220,13-10-2023,West,Maharashtra,Electronics,Headphones,3,3379.36,5041.05,5,4789,4228.92
100221,18-10-2024,West,Gujarat,Office Supplies,Pen,1,1988.41,2380.18,0,2380.18,391.77
100222,09-11-2024,North,Punjab,Electronics,Mobile,6,2405.88,3420.13,10,3078.12,4033.44
100223,04-09-2024,South,Karnataka,Home Appliances,Microwave,4,2281.44,2885.41,5,2741.14,1838.8
100224,10-03-2023,East,West Bengal,Electronics,Headphones,4,3507.1,4164.07,0,4164.07,2627.88
100225,20-05-2023,West,Gujarat,Furniture,Sofa,1,346.68,529.6,5,503.12,156.44
100226,25-01-2023,East,West Bengal,Furniture,Table,4,749.55,922.71,5,876.57,508.08
100227,25-06-2023,Central,Madhya Pradesh,Furniture,Sofa,8,1519.04,2058.06,0,2058.06,4312.16
100228,03-01-2023,West,Rajasthan,Electronics,Headphones,5,2788.14,3665.69,15,3115.84,1638.5
100229,12-08-2023,East,Odisha,Electronics,Headphones,5,3447.63,3997.35,30,2798.15,-3247.4
100230,02-08-2023,West,Rajasthan,Home Appliances,Microwave,1,3299.79,4134.54,10,3721.09,421.3
100231,10-01-2023,West,Rajasthan,Home Appliances,Mixer,7,4385.05,6894.82,0,6894.82,17568.39
100232,28-11-2024,West,Gujarat,Electronics,Headphones,3,4232.91,6099.21,20,4879.37,1939.38
100233,20-09-2023,South,Tamil Nadu,Electronics,Headphones,4,2509.2,3435.09,15,2919.83,1642.52
100234,26-10-2023,North,Punjab,Furniture,Chair,6,1528.81,2175.87,15,1849.49,1924.08
100235,22-03-2023,Central,Madhya Pradesh,Furniture,Chair,5,787.63,1186.97,0,1186.97,1996.7
100236,22-02-2024,East,Bihar,Furniture,Chair,1,1546.02,2119.63,30,1483.74,-62.28
100237,26-09-2023,East,Odisha,Home Appliances,Fan,6,3339.43,3678.35,5,3494.43,930
100238,31-08-2024,South,Karnataka,Furniture,Table,3,3537.69,4248.08,30,2973.66,-1692.09
100239,06-10-2023,East,West Bengal,Office Supplies,Notebook,3,4986.75,7718.66,15,6560.86,4722.33
100240,21-02-2023,North,Haryana,Home Appliances,Fan,4,1001.24,1210.85,20,968.68,-130.24
100241,02-02-2024,East,Bihar,Furniture,Chair,8,4734.26,5882.98,0,5882.98,9189.76
100242,20-05-2023,Central,Madhya Pradesh,Office Supplies,Printer,1,969.27,1446.36,10,1301.72,332.45
100243,22-10-2023,East,Bihar,Clothing,Jacket,8,4862.72,7516.84,15,6389.31,12212.72
100244,29-01-2023,East,Odisha,Clothing,Jeans,3,4614.65,5550.7,15,4718.09,310.32
100245,16-09-2023,South,Karnataka,Electronics,Laptop,6,1918.3,2699.3,5,2564.33,3876.18
100246,15-05-2023,East,Odisha,Clothing,T-shirt,6,412.21,505.54,30,353.88,-349.98
100247,29-05-2024,South,Karnataka,Electronics,Laptop,4,1739,2344.87,10,2110.38,1485.52
100248,15-05-2024,Central,Chhattisgarh,Electronics,Mobile,5,2329.03,3119.59,20,2495.67,833.2
100249,23-07-2023,North,Punjab,Office Supplies,Notebook,4,2637.33,3079.63,0,3079.63,1769.2
100250,15-09-2024,West,Maharashtra,Electronics,Headphones,7,2763.57,3248.2,30,2273.74,-3428.81
100251,21-12-2024,West,Gujarat,Clothing,Jacket,3,3440.84,5095.32,20,4076.26,1906.26
100252,16-06-2023,West,Gujarat,Office Supplies,Printer,5,1966.17,2907.79,30,2035.45,346.4
100253,15-06-2024,West,Maharashtra,Office Supplies,Notebook,8,2746.53,3212.7,5,3052.07,2444.32
100254,20-05-2023,East,West Bengal,Office Supplies,Notebook,1,2775.28,4121.25,20,3297,521.72
100255,22-06-2023,North,Haryana,Office Supplies,Printer,1,1972.78,2451.31,10,2206.18,233.4
100256,22-03-2024,West,Gujarat,Office Supplies,Printer,3,4850.5,5674.69,30,3972.28,-2634.66
100257,04-10-2023,North,Punjab,Office Supplies,Pen,2,681.9,822.28,10,740.05,116.3
100258,01-01-2024,North,Haryana,Office Supplies,Printer,2,4136.46,4671.19,30,3269.83,-1733.26
100259,25-06-2023,West,Rajasthan,Home Appliances,Fan,5,4313.76,5265.94,10,4739.35,2127.95
100260,21-09-2024,North,Punjab,Home Appliances,Microwave,2,4061.18,5303.79,10,4773.41,1424.46
100261,21-11-2023,West,Maharashtra,Clothing,Jacket,5,1106.7,1350.84,20,1080.67,-130.15
100262,08-06-2023,East,Odisha,Office Supplies,Notebook,2,2782.43,3158.47,30,2210.93,-1143
100263,27-05-2024,Central,Madhya Pradesh,Furniture,Chair,1,4578.95,5881.77,5,5587.68,1008.73
100264,27-09-2024,West,Gujarat,Electronics,Mobile,1,2196.51,2847.4,30,1993.18,-203.33
100265,12-01-2024,South,Tamil Nadu,Furniture,Table,3,543.81,714.23,5,678.52,404.13
